Date,Price,Open,High,Low,Vol.,Change %,Content,Sentiment,Confidence_score_Positive,Confidence_score_Negative,Confidence_score_Neutral
10-03-24,7.8,7.8,7.9,7.7,50.52K,0.00%,"On the close of operation on 05-Mar-2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.58 per unit on the basis of current market price and Tk. 11.34 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 939,934,055.51 on the basis of current market price and Tk. 1,113,404,551.77 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022765556,0.039686665,0.93754774
03-03-24,7.8,7.6,7.9,7.5,211.93K,1.30%,"On the close of operation on 27-Feb-2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.76 per unit on the basis of current market price and Tk. 11.31 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 957,705,053.75 on the basis of current market price and Tk. 1,110,502,564.46 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022635024,0.03882209,0.9385429
25-02-24,7.8,8.1,8.1,7.8,34.33K,-2.50%,"On the close of operation on February 20, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.80 per unit on the basis of current market price and Tk. 11.31 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 962,177,914.19 on the basis of current market price and Tk. 1,109,983,115.84 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021847822,0.03717256,0.9409796
18-02-24,8.2,8.2,8.5,8.1,26.48K,-2.38%,"On the close of operation on February 13, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.04 per unit on the basis of current market price and Tk. 11.29 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 985,849,431.75 on the basis of current market price and Tk. 1,108,303,247.86 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021986376,0.03682143,0.9411922
11-02-24,9.2,9.2,9.3,9,141.01K,0.00%,"On the close of operation on February 06, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.99 per unit on the basis of current market price and Tk. 11.27 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 980,830,600.57 on the basis of current market price and Tk. 1,106,559,191.26 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021640144,0.036586523,0.94177336
04-02-24,8.6,8.3,8.8,8.3,879.12K,6.17%,"On the close of operation on January 30, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.71 per unit on the basis of current market price and Tk. 11.25 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 952,698,861.94 on the basis of current market price and Tk. 1,104,071,471.40 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022359408,0.03685582,0.94078475
29-01-24,8.1,8.5,8.5,7.9,92.99K,3.85%,"(Q2 Un-audited): EPU was Tk. 0.14 for October-December 2023 as against Tk. (0.04) for October-December 2022; EPU was Tk. 0.13 for July-December 2023 as against Tk. (0.14) for July-December 2022. NOCFPU was Tk. (0.06) for July-December 2023 as against Tk. 0.09 for July-December 2022. NAV per unit at Market Price was Tk. 10.47 as on December 31, 2023 and Tk. 10.83 as on June 30, 2023. NAV per unit at Cost Price was Tk. 11.25 as on December 31, 2023 and Tk. 11.56 as on June 30, 2023.",Neutral,0.017231936,0.076303035,0.90646505
28-01-24,7.8,8,8.1,7.7,122.66K,-3.70%,"On the close of operation on January 23, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.02 per unit on the basis of current market price and Tk. 11.23 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 983,566,793.20 on the basis of current market price and Tk. 1,102,210,111.05 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02164096,0.03863324,0.9397258
22-01-24,8.3,7.5,9,7.5,425.96K,0.00%,"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of the Fund has informed that a meeting of the Trustee Committee will be held on January 28, 2024 at 3:00 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended December 31, 2023.",Neutral,0.02306777,0.028735597,0.9481966
21-01-24,8.3,8.3,8.3,8.3,38.78K,-9.78%,"On the close of operation on January 16, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.51 per unit on the basis of current market price and Tk. 11.24 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,031,483,325.73 on the basis of current market price and Tk. 1,103,208,432.77 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021742737,0.03766309,0.94059414
