Date,Price,Open,High,Low,Vol.,Change %,Content,Sentiment,Confidence_score_Positive,Confidence_score_Negative,Confidence_score_Neutral
2024-03-11,31.6,31.8,32.2,31.5,1.84M,0.32%,There will be no price limit on the trading of the shares of the Company today (11.03.2024) following its corporate declaration.,Neutral,0.021311328,0.028017655,0.950671
2024-03-11,31.6,31.8,32.2,31.5,1.84M,0.32%,(Cont. news of EBL): c. Stock Dividend is not recommended from capital reserve or revaluation reserve or any unrealized gain or out of profit earned prior to incorporation of EBL or through reducing paid up capital or through doing anything so that the post dividend retained earnings become negative or a debit balance. (end),Neutral,0.023382854,0.3223368,0.65428036
2024-03-11,31.6,31.8,32.2,31.5,1.84M,0.32%,"(Cont. news of EBL): Tk. 4.24 (restated), Tk. 29.62 (restated) and Tk. 10.30 (restated) respectively for the year ended on 31-Dec-2022. Reasons for recommending stock dividend: a. Stock dividend has been recommended to strengthen the capital base of the Bank (EBL) in order to support projected business growth and to improve certain regulatory ratios. b. Stock Dividend is recommended out of accumulated profit; and (cont.2)",Positive,0.83030075,0.008165734,0.16153355
2024-03-11,31.6,31.8,32.2,31.5,1.84M,0.32%,"The Board of Directors has recommended 12.50% Cash Dividend and 12.50% Stock Dividend for all shareholders for the year ended on 31-Dec-2023. Date of AGM: 29-Apr-2024, Time: 11:00 AM. Record Date: 02-Apr-2024. The Company has also reported Consolidated EPS of Tk. 5.07, Consolidated NAV per share of Tk. 33.57 and Consolidated NOCFPS of Tk. 7.91 for the year ended on 31-Dec-2023 as against (cont.1)",Neutral,0.02744397,0.022839308,0.9497167
2024-03-03,30.1,30.4,30.5,30.0,237.16K,-0.33%,"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on March 10, 2024 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended December 31, 2023.",Neutral,0.023890138,0.024768395,0.9513414
2023-10-29,29.4,29.4,29.4,29.4,0.07K,0.00%,"(Q3 Un-audited): Consolidated EPS was Tk. 1.52 for July-September 2023 as against Tk. Tk. 1.24 (Restated) for July-September 2022; Consolidated EPS was Tk. 3.53 for January-September 2023 as against Tk. 3.20 (Restated) for January-September 2022. Consolidated NOCFPS was Tk. 4.04 for January-September 2023 as against Tk. 9.42 (Restated) for January-September 2022. Consolidated NAV per share was Tk. 31.88 as on September 30, 2023 and Tk. 29.62 (Restated) as on December 31, 2022.",Neutral,0.017639786,0.06647055,0.9158897
2023-10-22,29.4,29.4,29.4,29.4,0.72K,0.00%,"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 26, 2023 at 4:00 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2023.",Neutral,0.02506673,0.0253673,0.94956595
2023-09-20,29.4,29.4,29.4,29.4,8.16K,0.00%,"Dhaka Stock Exchange Limited (DSE) has approved the proposed name change of the Company. Accordingly, the name of the Company will be 'Eastern Bank PLC' instead of 'Eastern Bank Ltd.' with effect from September 21, 2023. Other things (except name) will remain unchanged.",Neutral,0.03156683,0.02682992,0.9416033
2023-08-28,29.4,29.4,29.4,29.4,4.67K,0.00%,"The company has informed that the Board of Directors has decided to sell out the following two (02) own plots of land at the prevailing market price, in compliance with the requirements of the respective regulatory authorities: 1. Purbachal, Kaliganj, Gazipur, Area of Land: 85.15 Katha and 2. Bashundhara R/A, Block: A, Plot:19, Dhaka, Area of land: 5 Katha.",Neutral,0.03622561,0.015529699,0.9482447
2023-08-10,29.4,29.4,29.4,29.4,2.29K,0.00%,"The company has informed that the Board of Directors of the Company has approved the proposal for joining a 'Consortium' comprises with other commercial banks for becoming a sponsor shareholder of the proposed Digital Bank in the name & style 'Digi10 Bank PLC' by investing an amount of Tk.12,50,00,000.00 (Taka twelve crore and fifty lac only) subject to all regulatory approvals.",Neutral,0.26074955,0.0076391376,0.73161125
2023-07-30,29.4,29.4,29.4,29.4,0.11K,0.00%,"(Q2 Un-audited): Consolidated EPS was Tk. 1.12 for April-June 2023 as against Tk. 0.98 (restated) for April-June 2022; Consolidated EPS was Tk. 2.01 for January-June 2023 as against Tk. 1.96 (restated) for January-June 2022. Consolidated NOCFPS was Tk. (3.51) for January-June 2023 as against Tk. (1.55) (restated) for January-June 2022. Consolidated NAV per share was Tk. 30.37 as on June 30, 2023 and Tk. 29.62 (restated) as on December 31, 2022.",Neutral,0.019034099,0.06767502,0.9132909
2023-07-23,29.4,29.4,29.4,29.4,9.50K,0.00%,"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on July 27, 2023 at 4:00 PM to consider, among others, un-audited financial statements of the Company for the Second Quarter (Q2) period ended June 30, 2023.",Neutral,0.02519803,0.02493193,0.94987
