Date,Price,Open,High,Low,Vol.,Change %,Content,Sentiment,Confidence_score_Positive,Confidence_score_Negative,Confidence_score_Neutral
2024-03-10,10.0,9.7,10.2,9.7,1.10M,4.17%,"On the close of operation on 05-Mar-2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.37 per unit on the basis of current market price and Tk. 12.04 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 937,054,001.07 on the basis of current market price and Tk. 1,203,641,558.59 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022468526,0.039259885,0.93827164
2024-03-03,9.7,9.6,10.1,9.5,127.01K,3.19%,"On the close of operation on 27-Feb-2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.55 per unit on the basis of current market price and Tk. 12.00 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 954,684,610.90 on the basis of current market price and Tk. 1,199,507,038.86 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.023020973,0.038548354,0.9384306
2024-02-25,9.6,9.5,9.8,9.2,201.49K,3.23%,"On the close of operation on February 20, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.60 per unit on the basis of current market price and Tk. 11.99 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 959,606,069.75 on the basis of current market price and Tk. 1,198,977,479.63 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022325383,0.036690645,0.940984
2024-02-18,8.6,8.6,9.4,8.4,242.84K,-6.52%,"On the close of operation on February 13, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.81 per unit on the basis of current market price and Tk. 11.98 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 980,728,277.47 on the basis of current market price and Tk. 1,198,428,780.75 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022213425,0.03636866,0.94141793
2024-02-11,10.2,10.2,10.5,10.0,1.26M,0.00%,"On the close of operation on February 06, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.77 per unit on the basis of current market price and Tk. 11.99 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 977,024,884.36 on the basis of current market price and Tk. 1,198,612,515.54 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022353742,0.036514997,0.9411313
2024-02-04,9.0,8.6,9.1,8.6,1.15M,3.45%,"On the close of operation on January 30, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.41 per unit on the basis of current market price and Tk. 11.96 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 940,520,131.83 on the basis of current market price and Tk. 1,196,003,954.71 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022063795,0.0353456,0.94259065
2024-01-29,8.8,9.0,9.0,8.5,781.80K,2.33%,"(Q2 Un-audited): EPU was Tk. 0.08 for October-December 2023 as against Tk. (0.09) for October-December 2022; EPU was Tk. 0.10 for July-December 2023 as against Tk. (0.15) for July-December 2022. NOCFPU was Tk. (0.03) for July-December 2023 as against Tk. 0.07 for July-December 2022. NAV per unit at Market Price was Tk. 10.15 as on December 31, 2023 and Tk. 10.30 as on June 30, 2023. NAV per unit at Cost Price was Tk. 11.98 as on December 31, 2023 and Tk. 12.04 as on June 30, 2023.",Neutral,0.016983869,0.074241124,0.90877503
2024-01-28,8.6,8.6,8.6,8.3,1.01M,1.18%,"On the close of operation on January 23, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 9.70 per unit on the basis of current market price and Tk. 11.96 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 969,516,225.73 on the basis of current market price and Tk. 1,195,587,791.86 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022455746,0.037339196,0.94020504
2024-01-22,8.2,8.1,8.3,8.0,1.54M,1.23%,"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of the Fund has informed that a meeting of the Trustee Committee will be held on January 28, 2024 at 3:00 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended December 31, 2023.",Neutral,0.02306777,0.028735597,0.9481966
2024-01-21,8.1,7.9,8.2,7.7,437.26K,1.25%,"On the close of operation on January 16, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.19 per unit on the basis of current market price and Tk. 11.96 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,018,522,208.82 on the basis of current market price and Tk. 1,195,586,919.75 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022050686,0.037883233,0.94006604
2024-01-14,7.9,7.9,8.2,7.8,1.45M,1.28%,"On the close of operation on January 09, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.13 per unit on the basis of current market price and Tk. 11.96 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,012,996,971.43 on the basis of current market price and Tk. 1,195,778,774.01 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021994198,0.036763825,0.9412419
2024-01-08,8.1,8.0,8.3,7.9,975.06K,1.25%,"On the close of operation on January 02, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.13 per unit on the basis of current market price and Tk. 11.97 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,012,588,984.43 on the basis of current market price and Tk. 1,196,937,230.71 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021727936,0.038229086,0.940043
2024-01-01,9.1,10.2,10.3,8.9,2.15M,-3.19%,"On the close of operation on December 26, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.12 per unit on the basis of current market price and Tk. 11.97 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,012,469,662.73 on the basis of current market price and Tk. 1,196,744,979.51 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022270076,0.037599318,0.94013065
